Rank,Agent - Model,Idx,Time_min,Idx2_Time_hours,Cost_USD
1,Codex - GPT-5.6 Sol (low),54,3.7,466,0
2,Codex - GPT-5.6 Sol (medium),61,5.2,426,0
3,Codex - GPT-5.6 Sol (high),64,6.3,390,0
4,Codex - GPT-5.6 Sol (xhigh),65,7.4,344,0
5,Codex - GPT-5.6 Sol (none),43,3.4,329,1.3982889177050872
6,Codex - GPT-5.6 Terra (medium),48,4.3,321,0.9012260285565961
7,Codex - GPT-5.6 Luna (medium),42,3.4,320,0.47389570332294917
8,Codex - GPT-5.6 Terra (high),56,6.2,302,1.5897404480789192
9,Codex - GPT-5.6 Terra (low),37,2.8,291,0.4843241962616821
10,Codex - GPT-5.6 Terra (xhigh),57,6.9,284,1.8951321370716503
11,Codex - GPT-5.6 Luna (high),51,5.7,281,0.9586630484942884
12,Codex - GPT-5.6 Terra (max),62,8.4,278,2.7564140134994792
13,Codex - GPT-5.5 (medium),54,6.4,277,2.7545190841121476
14,Codex - GPT-5.6 Luna (xhigh),55,6.6,272,1.2563853698857719
15,Codex - GPT-5.6 Sol (max),67,10.2,261,7.0835100321910645
16,Codex - GPT-5.6 Luna (max),59,8.0,258,1.566956997507788
17,Codex - GPT-5.5 (xhigh),61,10.1,225,5.069575952232609
18,Codex - GPT-5.6 Luna (low),25,1.9,196,0.2085558115264794
19,Cursor CLI - GPT-5.5 (medium),46,6.6,192,2.0149947633091023
20,Codex - GPT-5.6 Terra (none),24,1.8,188,0.3699857113187957
21,Claude Code - Opus 4.6 (medium),46,8.0,162,1.2777181349358966
22,Claude Code - Opus 4.7 (medium),40,6.3,155,1.6798828591381119
23,Grok Build - Grok 4.5,64,16.5,151,2.594053333333331
24,Claude Code - Opus 4.8 (medium),54,12.4,139,3.263124304517135
25,Opencode - Muse Spark,54,12.6,137,1.428240683805814
26,Cursor CLI - Composer 2.5 Fast,38,6.8,129,0.5493899408099685
27,Codex - GPT-5.4 (medium),39,7.1,129,2.4151032730654785
28,Opencode - Opus 4.7 (medium),50,12.2,123,2.9312448589044684
29,Claude Code - Fable 5,66,23.4,111,11.710527040238846
30,Cursor CLI - GPT-5.4 (medium),37,8.1,100,1.5458576141690654
31,Codex - GPT-5.6 Luna (none),20,2.5,100,0.35196185919003126
32,Claude Code - Opus 4.7 (max),50,15.7,97,5.632379174870193
33,Claude Code - Opus 4.8 (max),61,23.1,95,7.697531218302191
34,Kimi Code CLI - Kimi K3,61,23.8,95,3.1751868971339587
35,Cursor CLI - Composer 2.5,38,9.5,92,0.0822332840083074
36,Cursor CLI - Opus 4.7 (medium),45,13.6,91,2.679868428478709
37,Claude Code - Qwen3.7 Plus (thinking),36,10.6,73,6.226261819189548
38,Claude Code - Sonnet 4.6 (medium),38,13.5,63,2.0058686946521296
39,Cursor CLI - Composer 2,27,8.6,53,0.04363878773584906
40,Gemini CLI - Gemini 3.1,30,10.8,51,1.996407103219105
41,Claude Code - GLM-5.2,43,25.1,45,6.5111001416041745
42,Claude Code - GLM-5.1,36,19.6,40,4.331216886438215
43,Claude Code - DeepSeek V4,31,17.9,33,0.2719346130986499
44,Claude Code - Kimi K2.6,33,41.0,16,1.188952092336449
