cache_hit_discount_percent,cache_storage_price_per_hour_per_1m_tokens,cache_write_price,context_window_if_different_to_model,deleted,derived_agentic_coding_per_price,derived_agentic_coding_per_speed,derived_agentic_coding_score,derived_intel_per_chatbot_speed,derived_intel_per_coding_speed,derived_intel_per_price,derived_price_per_agentic_coding,derived_price_per_intel,e2e_answer_time,e2e_input_time,e2e_p05_total_time,e2e_p25_total_time,e2e_p75_total_time,e2e_p95_total_time,e2e_reasoning_time,e2e_total_time,function_calling,host_api_id,host_id,host_label,host_model_string,host_name,host_openai_compatible,host_short_name,host_slug,host_website_url,id,json_mode,median_est_total_100_tokens,median_output_speed,median_ttft,model_agentic_index,model_aime25,model_coding_index,model_context_window_tokens,model_creator_name,model_creator_slug,model_estimated_intelligence_index,model_gdpval,model_gdpval_normalized,model_gpqa,model_hle,model_id,model_ifbench,model_input_modality_image,model_input_modality_speech,model_input_modality_text,model_input_modality_video,model_intelligence_index,model_is_open_weights,model_label,model_lcr,model_license_name,model_livecodebench,model_math_index,model_mmlu_pro,model_name,model_name_appendage,model_omniscience,model_output_modality_image,model_output_modality_speech,model_output_modality_text,model_output_modality_video,model_output_tokens,model_parameters,model_reasoning_model,model_release_date,model_scicode,model_short_name,model_size_class,model_slug,model_tau2,model_terminalbench_hard,name,p05_est_total,p05_output_speed,p05_ttft,p25_est_total,p25_output_speed,p25_ttft,p75_est_total,p75_output_speed,p75_ttft,p95_est_total,p95_output_speed,p95_ttft,perf_100k_median_e2e,perf_100k_median_est_total_100_tokens,perf_100k_median_output_speed,perf_100k_median_ttft,perf_long_median_e2e,perf_long_median_est_total_100_tokens,perf_long_median_output_speed,perf_long_median_ttft,perf_medium_coding_median_e2e,perf_medium_coding_median_est_total_100_tokens,perf_medium_coding_median_output_speed,perf_medium_coding_median_ttft,perf_medium_median_e2e,perf_medium_median_est_total_100_tokens,perf_medium_median_output_speed,perf_medium_median_ttft,perf_vision_single_image_median_e2e,perf_vision_single_image_median_est_total_100_tokens,perf_vision_single_image_median_output_speed,perf_vision_single_image_median_ttft,price_1m_blended_3_to_1,price_1m_input_tokens,price_1m_output_tokens,price_m_tokens_blended_3_to_1_per_dollar,price_per_1k_1mp_images,price_per_1m_cache_write,short_name,slug,ttft_input_time,ttft_reasoning_time,ttft_total_time
,0,,,False,,0.0591,0.807017543859649,0.9351,2.2252,,,,4.242320676619826,31.5727962899998,47.07709881133525,36.58470651564696,35.20032714902175,34.89967069028299,0,35.81511696661963,True,o3-global-standard,8b134dae-c63d-432e-bd07-d9596c3c5b9b,Azure,Microsoft Azure_o3,Microsoft Azure,True,Azure,azure,https://azure.microsoft.com/,78c9c01b-1975-4f5c-a361-167978448467,True,32.5114632036322,117.860020048835,31.5727962899998,,0.883333333333333,,200000,OpenAI,openai,,,$undefined,0.827272727272727,0.200447093889717,16c5b637-8bce-4252-81f2-1b87a36a4e4c,0.714285714285714,True,False,True,False,30.4025993972201,False,o3,0.693333333333333,,0.808465608465608,88.3333333333333,0.853474069148936,o3,,-15.2666666666667,False,False,True,False,100000,,True,2025-04-16,0.409722222222222,o3,Large,o3,0.807017543859649,0.371212121212121,"o3, Microsoft Azure",18.3304147182907,32.2491127422179,17.4107099234,25.599150339866,99.7623615525632,24.8554632202499,61.2890320677905,137.834802633439,60.581776946,150.438565137776,150.291216271176,149.34903592045,42.710953455169964,39.4812806810486,116.367216589833,38.4142106555,35.81511696661963,32.5114632036322,117.860020048835,31.5727962899998,17.042425283806384,13.6630709975829,122.714495403655,12.9679270075,23.845377677040005,20.478080249822,118.377867652267,19.6216151620001,29.91434168725449,24.8766588401101,80.1287898981672,23.6743872259999,,2,8,,6.75,,"o3, Azure",azure_o3,31.5727962899998,0,31.5727962899998
,0,,,False,,0.1501,0.807017543859649,5.0801,5.6548,,,,3.6559171940296435,5.47386214449989,11.788019586593514,10.41451239511786,8.347418038738782,7.903771475977671,0,9.129779338529534,True,o3-2025-04-16,6047c38a-af71-4b47-9d66-d361753f71b4,OpenAI,OpenAI_o3,OpenAI,True,OpenAI,openai,https://openai.com/,f84192a9-2ac1-4bb9-b028-cad4bf21ff27,True,5.98462252743811,136.764585591964,5.47386214449989,,0.883333333333333,,200000,OpenAI,openai,,,$undefined,0.827272727272727,0.200447093889717,16c5b637-8bce-4252-81f2-1b87a36a4e4c,0.714285714285714,True,False,True,False,30.4025993972201,False,o3,0.693333333333333,,0.808465608465608,88.3333333333333,0.853474069148936,o3,,-15.2666666666667,False,False,True,False,100000,,True,2025-04-16,0.409722222222222,o3,Large,o3,0.807017543859649,0.371212121212121,"o3, OpenAI",3.80813721543909,79.1871290168862,3.04749263800031,4.56451690497656,101.201253810156,3.51344452224986,8.76306602158875,174.000443493177,8.00985586950003,37.3327162310472,205.768994555825,36.6591539767,12.708894474474207,10.5671880139447,185.294285673157,10.0104842230002,9.129779338529534,5.98462252743811,136.764585591964,5.47386214449989,7.584142799635318,5.37644056454538,177.485523480146,4.76701163199994,8.387433963361694,5.64283865110055,150.408257320432,5.06314838949993,7.342271007355029,3.87496778313015,110.045817372687,2.79870895350001,,2,8,,6.75,,"o3, OpenAI",openai_o3,5.47386214449989,0,5.47386214449989
,,,400000,False,,0.0653,0.365497076023392,4.5757,5.3289,,,,2.493756331099241,5.99147975699998,10.029228488889082,9.049760359594062,7.960651029150828,7.515757797047753,0,8.48523608809922,True,gpt-5.4-mini,8b134dae-c63d-432e-bd07-d9596c3c5b9b,Azure,Microsoft Azure_GPT-5.4 mini (medium),Microsoft Azure,True,Azure,azure,https://azure.microsoft.com/,87ffdf63-7a92-4dc8-b765-260a2c572b77,True,6.51547379764452,200.500744104217,5.99147975699998,,,,400000,OpenAI,openai,,,$undefined,0.823232323232323,0.170528266913809,392063ba-c3b5-47e8-ba67-a7b0b34f6824,0.647619047619048,True,False,True,False,29.812779984698,False,GPT-5.4 mini (medium),0.613333333333333,,,,,GPT-5.4 mini (medium),,-20.1166666666667,False,False,True,False,128000,,True,2026-03-17,0.44212962962963,GPT-5.4 mini (medium),Large,gpt-5-4-mini-medium,0.365497076023392,0.340909090909091,"GPT-5.4 mini (medium), Microsoft Azure",2.09512789313305,123.831380603535,1.6605219975002,3.82812656309099,163.490557267993,3.08618256450007,18.0322349129173,253.91392159295,17.1361045810002,45.7822367884533,328.024144456171,45.3868528293,36.223665418562625,34.8502680335748,289.8691738744,34.4987493355001,8.48523608809922,6.51547379764452,200.500744104217,5.99147975699998,7.440123061423876,5.59451369875615,210.562830538393,5.06553492199994,7.56634108256744,5.75105388861851,210.295276803512,5.18873181050009,6.150793606102288,3.53959874566795,153.186427104779,2.8867968575,,0.75,4.5,,,,"GPT-5.4 mini (medium), Azure",azure_gpt-5-4-mini-medium,5.99147975699998,0,5.99147975699998
,,,272000,False,,0.0456,0.365497076023392,3.6055,3.72,,,,2.833430883874775,7.7709611979999,11.642994915821408,11.065319165617563,10.275080992308014,9.744908912644282,0,10.604392081874675,True,gpt-5.4-mini,6047c38a-af71-4b47-9d66-d361753f71b4,OpenAI,OpenAI_GPT-5.4 mini (medium),OpenAI,True,OpenAI,openai,https://openai.com/,2ef52f26-4dd0-4784-abdd-1369ae6590a0,True,8.26860301078342,176.464512632205,7.7709611979999,,,,400000,OpenAI,openai,,,$undefined,0.823232323232323,0.170528266913809,392063ba-c3b5-47e8-ba67-a7b0b34f6824,0.647619047619048,True,False,True,False,29.812779984698,False,GPT-5.4 mini (medium),0.613333333333333,,,,,GPT-5.4 mini (medium),,-20.1166666666667,False,False,True,False,128000,,True,2026-03-17,0.44212962962963,GPT-5.4 mini (medium),Large,gpt-5-4-mini-medium,0.365497076023392,0.340909090909091,"GPT-5.4 mini (medium), OpenAI",2.23534291275546,129.131106916422,1.57652565679991,2.52762859445096,151.774641649395,1.91427367849996,19.1276084349651,199.67095868836,18.6107438309998,33.4933651414297,253.299515630827,33.0816831642,32.42647237707926,30.5987975351049,218.764970920252,30.1409145115,10.604392081874675,8.26860301078342,176.464512632205,7.7709611979999,9.972643408456769,8.01412101865655,211.920358876702,7.6132665055,7.01416662121045,4.62614134571938,168.607978339113,4.04870789899996,5.292397180780599,2.36153546235936,134.820286449585,1.5837564919999,,0.75,4.5,,1.24,,"GPT-5.4 mini (medium), OpenAI",openai_gpt-5-4-mini-medium,7.7709611979999,0,7.7709611979999
,,,1050000,False,,0.2516,0.5026587280701755,13.4679,17.7122,,,,8.551065691235122,0.915834047500055,12.926630516083074,10.7416673319383,7.58426042321799,6.406012454901519,0,9.466899738735178,True,gpt-5.5,6047c38a-af71-4b47-9d66-d361753f71b4,OpenAI,OpenAI_GPT-5.5 (Non-reasoning),OpenAI,True,OpenAI,openai,https://openai.com/,2d61b03b-8452-48a5-b730-c2de7488e83d,True,2.62719877035881,58.4722440516978,0.915834047500055,25.8018109965636,,56.4784470800389,922000,OpenAI,openai,,1124.67,0.31233500000000003,0.767676767676768,0.125579240037071,6f1a7562-6e96-46ac-af4f-6ba5a7a3da96,0.461224489795918,True,False,True,False,35.3827351786589,False,GPT-5.5 (Non-reasoning),0.563333333333333,,,,,GPT-5.5 (Non-reasoning),,-5.05,False,False,True,False,128000,,False,2026-04-23,0.47337962962963,GPT-5.5 (Non-reasoning),Large,gpt-5-5-non-reasoning,0.692982456140351,0.492424242424242,"GPT-5.5 (Non-reasoning), OpenAI",1.90574040105543,41.6292126261455,0.676628824749994,2.167249129654,50.8862694415831,0.801899989249705,2.85371931629907,74.9802084972662,1.0172282305,3.79863216608853,91.0717216995965,1.18297393214971,7.727223745532463,3.86343130330393,103.391300431005,2.89122692649971,9.466899738735178,2.62719877035881,58.4722440516978,0.915834047500055,6.057867822361713,1.99764224353255,98.3103163329193,0.971931588500013,9.270136307555932,2.67978065147362,60.21398847787,0.966417975000013,11.356583623763266,3.23318372290011,49.6041583487916,1.27678352949999,,5,30,,3.83,,"GPT-5.5 (Non-reasoning), OpenAI",openai_gpt-5-5-non-reasoning,0.915834047500055,0,0.915834047500055
,,,272000,False,,0.2377,0.5026587280701755,11.4966,16.7336,,,,7.692317473991373,1.29123929149978,12.908411370011327,11.569242671363163,7.688156721111378,5.870989467496506,0,8.983556765491153,True,openai.gpt-5.5,3be95d43-d19e-42e3-8bf9-4cda40ecd7bf,Amazon,Amazon Bedrock_GPT-5.5 (Non-reasoning),Amazon Bedrock,False,Amazon,amazon_bedrock,https://aws.amazon.com/bedrock/,7d74211f-faf9-44d3-a4b9-322100fc59f5,True,3.07767904883184,64.999917344878,1.29123929149978,25.8018109965636,,56.4784470800389,922000,OpenAI,openai,,1124.67,0.31233500000000003,0.767676767676768,0.125579240037071,6f1a7562-6e96-46ac-af4f-6ba5a7a3da96,0.461224489795918,True,False,True,False,35.3827351786589,False,GPT-5.5 (Non-reasoning),0.563333333333333,,,,,GPT-5.5 (Non-reasoning),,-5.05,False,False,True,False,128000,,False,2026-04-23,0.47337962962963,GPT-5.5 (Non-reasoning),Large,gpt-5-5-non-reasoning,0.692982456140351,0.492424242424242,"GPT-5.5 (Non-reasoning), Amazon Bedrock",2.10164184891026,43.0397343364533,0.705323480100332,2.561723313481,48.6475808112301,0.816191285749852,4.02463213082065,78.1626471658801,2.33804528224999,4.88991695081059,109.176260884401,2.86932235209993,7.99688020591616,3.43156397558351,87.6171506679734,2.29023491800035,8.983556765491153,3.07767904883184,64.999917344878,1.29123929149978,6.227735813477519,2.11446831888965,93.1808378471558,0.861825702000004,7.8036689708380145,2.67299092259193,70.9678283718118,0.758223006500202,13.487567233362043,3.95945095890814,41.203497158118,1.35267494300001,,5.5,33,,0.0275,,"GPT-5.5 (Non-reasoning), Amazon",amazon_bedrock_gpt-5-5-non-reasoning,1.29123929149978,0,1.29123929149978
,,,131072,False,,0.1455,0.3976023684210525,3.4868,8.7193,,,,1.04823305828332,0.742733137000002,6.221212681808358,6.021266693347653,5.951100977092854,5.657350278906264,4.19293223313328,5.983898428416602,True,openai/gpt-oss-120b,c3a16cd3-5bbb-45e9-b694-df711974f37e,Groq,Groq_gpt-oss-120b (high),Groq,True,Groq,groq,https://groq.com/,a8e38398-7951-486e-8f25-68f58d3aa479,True,6.83470627745806,476.993161061763,0.742733137000002,13.1731638029782,0.934416666666667,30.441115272576,131072,OpenAI,openai,,774.62,0.13731000000000002,0.781818181818182,0.184893419833179,f0083258-8646-45b8-8082-7aaf6c2ea82a,0.689795918367347,False,False,True,False,23.8309678073278,True,gpt-oss-120b (high),0.506666666,Apache 2.0,0.878306878306878,93.4416666666667,0.807928856382979,gpt-oss-120b (high),,-50.05,False,False,True,False,131071,117,True,2025-08-05,0.388888888888889,gpt-oss-120b (high),Medium,gpt-oss-120b,0.657894736842105,0.234848484848485,"gpt-oss-120b (high), Groq",3.36451880447013,456.330991026353,0.633037527750275,4.17892012906716,473.616388588389,0.694526024000879,11.2845564399882,479.996819878112,0.842059077999991,43.1656516729448,508.686623558699,1.4298026217999,10.138163779158317,6.59159037311217,477.537192593267,4.9029694555,5.983898428416602,6.83470627745806,476.993161061763,0.742733137000002,5.491425271680705,2.73312290421238,473.468610737096,0.211244192499976,5.490334296770187,6.57624822189841,475.407360983142,0.231686229500042,,,,,,0.15,0.6,,,,"gpt-oss-120b (high), Groq",groq_gpt-oss-120b,0.742733137000002,4.19293223313328,4.9356653701332815
,,,128000,False,,0.0483,0.3976023684210525,1.0961,2.8958,,,,2.8308065366492046,1.21187617499982,22.963560669754322,16.360972994307645,15.101719521480831,14.844823016721724,11.323226146596818,15.365908858245842,True,gpt-oss-120b,a5b31cdb-30c6-4f3c-a92b-93b5af73a5f8,Scaleway,Scaleway_gpt-oss-120b (high),Scaleway,True,Scaleway,scaleway,https://www.scaleway.com/,6fcd78d9-8a58-407c-b302-031f52bcfe76,True,21.7413920156292,176.628107052432,1.21187617499982,13.1731638029782,0.934416666666667,30.441115272576,131072,OpenAI,openai,,774.62,0.13731000000000002,0.781818181818182,0.184893419833179,f0083258-8646-45b8-8082-7aaf6c2ea82a,0.689795918367347,False,False,True,False,23.8309678073278,True,gpt-oss-120b (high),0.506666666,Apache 2.0,0.878306878306878,93.4416666666667,0.807928856382979,gpt-oss-120b (high),,-50.05,False,False,True,False,131071,117,True,2025-08-05,0.388888888888889,gpt-oss-120b (high),Medium,gpt-oss-120b,0.657894736842105,0.234848484848485,"gpt-oss-120b (high), Scaleway",6.56523595022513,114.933627352074,1.11133457850012,10.9783667111421,165.026339841838,1.14481807849983,28.5163604389429,179.98763107961,1.29484472099989,82.5895598904839,183.379281752135,1.39005314560007,23.535408738354576,18.0495797582256,159.214481415441,7.83331947000022,15.365908858245842,21.7413920156292,176.628107052432,1.21187617499982,15.058271659473908,8.22942617543786,173.316995371828,0.6338351254999,14.87666389140509,19.6649839098755,176.20471002659,0.688620906499978,,,,,,0.17,0.7,,,,"gpt-oss-120b (high), Scaleway",scaleway_gpt-oss-120b,1.21187617499982,11.323226146596818,12.535102321596638
,,,116000,False,,0.0253,0.3976023684210525,0.7835,1.5137,,,,4.225336054558635,1.04978693400017,36.00754087414208,25.49265102526112,19.847822441004205,18.765866903112965,16.90134421823454,22.176467206793347,True,@cf/openai/gpt-oss-120b,e5a35313-9994-4200-9775-daa4567948bb,Cloudflare,Cloudflare_gpt-oss-120b (high),Cloudflare,True,Cloudflare,cloudflare,https://developers.cloudflare.com/workers-ai/models/,ca2f318b-9856-4584-b694-d2d20f34db72,True,30.4146357604358,118.333783051542,1.04978693400017,13.1731638029782,0.934416666666667,30.441115272576,131072,OpenAI,openai,,774.62,0.13731000000000002,0.781818181818182,0.184893419833179,f0083258-8646-45b8-8082-7aaf6c2ea82a,0.689795918367347,False,False,True,False,23.8309678073278,True,gpt-oss-120b (high),0.506666666,Apache 2.0,0.878306878306878,93.4416666666667,0.807928856382979,gpt-oss-120b (high),,-50.05,False,False,True,False,131071,117,True,2025-08-05,0.388888888888889,gpt-oss-120b (high),Medium,gpt-oss-120b,0.657894736842105,0.234848484848485,"gpt-oss-120b (high), Cloudflare",13.2757627602447,71.5148920688882,0.970074940100347,17.71268162338,102.279339715096,1.00294767499975,45.644305398275,132.99262037613,1.11249422474992,65.6502314716989,141.114738946688,2.24148734010002,43.58627549515494,24.9359078065464,80.4486193104408,12.5105401820003,22.176467206793347,30.4146357604358,118.333783051542,1.04978693400017,24.555512131694357,15.7436020775618,103.506955962607,0.402546017000077,20.598372350727466,29.7343874213748,123.869192307775,0.41579140850007,,,,,,0.35,0.75,,,,"gpt-oss-120b (high), Cloudflare",cloudflare_gpt-oss-120b,1.04978693400017,16.90134421823454,17.951131152234712
,,,131072,False,,0.0617,0.3976023684210525,1.7213,3.6982,,,,2.1461151154968374,0.44484198300006,81.91336245901844,23.418462124786224,10.009052193546188,8.51648980160606,8.58446046198735,11.175417560484247,True,openai/gpt-oss-120b-Turbo,a1575ad8-55b5-4652-8e4a-22099e72f1f9,DeepInfra (Turbo),DeepInfra_gpt-oss-120b (high)_(Turbo),DeepInfra (Turbo),True,DeepInfra (Turbo),deepinfra,https://deepinfra.com/,79203eb1-d60d-4c5d-8fbc-869f55014ae8,True,13.8449168865698,232.979114861808,0.44484198300006,13.1731638029782,0.934416666666667,30.441115272576,131072,OpenAI,openai,,774.62,0.13731000000000002,0.781818181818182,0.184893419833179,f0083258-8646-45b8-8082-7aaf6c2ea82a,0.689795918367347,False,False,True,False,23.8309678073278,True,gpt-oss-120b (high) (Turbo),0.506666666,Apache 2.0,0.878306878306878,93.4416666666667,0.807928856382979,gpt-oss-120b (high),(Turbo),-50.05,False,False,True,False,131071,117,True,2025-08-05,0.388888888888889,gpt-oss-120b (high),Medium,gpt-oss-120b,0.657894736842105,0.234848484848485,"gpt-oss-120b (high) (Turbo), DeepInfra",4.2373648367933,30.6866994195128,0.37307329950022,6.77830159797387,108.820463843781,0.397960467999809,52.3889474316515,261.391159851687,0.649455988999989,138.701052815958,309.726100070575,13.9109817103001,14.153867508621257,7.51283002844284,214.206706749962,2.48289773399984,11.175417560484247,13.8449168865698,232.979114861808,0.44484198300006,11.274262574501968,6.44395959690731,228.979969839389,0.356277033000026,13.20411913608911,18.5480439619512,195.287932647031,0.402508887500062,,,,,,0.15,0.6,,,,"gpt-oss-120b (high) (Turbo), DeepInfra",deepinfra_gpt-oss-120b_turbo,0.44484198300006,8.58446046198735,9.02930244498741
